year,country,type_of_violence
2015,Thailand,3
2015,Thailand,1
2015,Thailand,3
2015,Thailand,1
2015,Thailand,1
2015,Thailand,3
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,3
2015,Thailand,3
2015,Thailand,3
2015,Thailand,3
2015,Thailand,3
2015,Thailand,3
2015,Thailand,1
2015,Thailand,3
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,3
2015,Thailand,3
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2008,Thailand,1
2006,Thailand,3
2006,Thailand,1
2004,Thailand,3
2005,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,1
2006,Thailand,1
2013,Thailand,1
2013,Thailand,3
2006,Thailand,1
2006,Thailand,1
2007,Thailand,1
2004,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2009,Thailand,3
2006,Thailand,1
2007,Thailand,3
2008,Thailand,1
2009,Thailand,3
2005,Thailand,3
2007,Thailand,3
2006,Thailand,3
2005,Thailand,3
2009,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,1
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2004,Thailand,3
2005,Thailand,3
2005,Thailand,3
2008,Thailand,1
2008,Thailand,1
2007,Thailand,1
2007,Thailand,1
2007,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2004,Thailand,3
2004,Thailand,1
2006,Thailand,1
2007,Thailand,1
2008,Thailand,1
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2008,Thailand,3
2005,Thailand,1
2005,Thailand,1
2007,Thailand,1
2004,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2004,Thailand,1
2005,Thailand,3
2006,Thailand,3
2007,Thailand,3
2004,Thailand,1
2004,Thailand,1
2006,Thailand,3
2005,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,3
2008,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2005,Thailand,1
2005,Thailand,1
2005,Thailand,1
2007,Thailand,1
2007,Thailand,1
2005,Thailand,1
2007,Thailand,3
2007,Thailand,3
2006,Thailand,3
2013,Thailand,1
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2009,Thailand,3
2005,Thailand,1
2005,Thailand,3
2005,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,1
2007,Thailand,1
2007,Thailand,3
2007,Thailand,3
2005,Thailand,3
2007,Thailand,3
2005,Thailand,3
2004,Thailand,3
2006,Thailand,3
2006,Thailand,3
2009,Thailand,3
2007,Thailand,3
2006,Thailand,3
2005,Thailand,3
2005,Thailand,3
2007,Thailand,3
2008,Thailand,1
2007,Thailand,3
2008,Thailand,1
2006,Thailand,3
2006,Thailand,3
2008,Thailand,3
2008,Thailand,3
2006,Thailand,3
2004,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,1
2007,Thailand,1
2007,Thailand,1
2004,Thailand,1
2006,Thailand,1
2007,Thailand,1
2008,Thailand,1
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2006,Thailand,1
2007,Thailand,1
2004,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2004,Thailand,1
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2007,Thailand,3
2006,Thailand,1
2006,Thailand,3
2006,Thailand,3
2007,Thailand,1
2007,Thailand,1
2005,Thailand,3
2006,Thailand,1
2007,Thailand,1
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2007,Thailand,1
1993,Thailand,3
1995,Thailand,2
2008,Thailand,1
2001,Thailand,1
1994,Thailand,1
2000,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2010,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2007,Thailand,1
2009,Thailand,1
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2006,Thailand,3
2004,Thailand,3
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2005,Thailand,3
2006,Thailand,3
2004,Thailand,3
2004,Thailand,1
2006,Thailand,1
2009,Thailand,1
2011,Thailand,1
2011,Thailand,1
1993,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2008,Thailand,3
2008,Thailand,3
2008,Thailand,3
2008,Thailand,3
2009,Thailand,3
2005,Thailand,1
2007,Thailand,1
2007,Thailand,1
2007,Thailand,1
2008,Thailand,1
2008,Thailand,1
2009,Thailand,1
2009,Thailand,1
2011,Thailand,1
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2008,Thailand,3
2009,Thailand,3
2010,Thailand,3
2010,Thailand,3
2011,Thailand,3
2011,Thailand,3
2003,Thailand,1
2006,Thailand,1
2011,Thailand,1
2011,Thailand,3
1998,Thailand,1
2004,Thailand,1
2006,Thailand,1
2009,Thailand,1
2011,Thailand,1
1992,Thailand,3
1997,Thailand,3
2004,Thailand,3
2007,Thailand,3
2005,Thailand,3
2006,Thailand,3
2011,Thailand,3
2011,Thailand,3
2011,Thailand,3
2008,Thailand,3
2006,Thailand,3
2007,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,1
2007,Thailand,3
2005,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2008,Thailand,3
2010,Thailand,3
2010,Thailand,1
2011,Thailand,1
2005,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2008,Thailand,3
2009,Thailand,3
2009,Thailand,3
2009,Thailand,3
2010,Thailand,3
2010,Thailand,3
2010,Thailand,3
2008,Thailand,1
2008,Thailand,1
2011,Thailand,1
2012,Thailand,1
2011,Thailand,1
2011,Thailand,1
2012,Thailand,1
2012,Thailand,1
2012,Thailand,1
2012,Thailand,3
2012,Thailand,3
2012,Thailand,3
2010,Thailand,3
1998,Thailand,1
1989,Thailand,3
1995,Thailand,1
1995,Thailand,1
1998,Thailand,1
1989,Thailand,3
2014,Thailand,1
2014,Thailand,1
2015,Thailand,1
2015,Thailand,1
2015,Thailand,1
2013,Thailand,1
2015,Thailand,1
2015,Thailand,3
2015,Thailand,1
2015,Thailand,3
2015,Thailand,3
2015,Thailand,3
2015,Thailand,3
2015,Thailand,3
2015,Thailand,3
1995,Thailand,1
1995,Thailand,1
1995,Thailand,1
1990,Thailand,3
2005,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,3
2013,Thailand,3
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2002,Thailand,1
1989,Thailand,1
1997,Thailand,3
2005,Thailand,1
1989,Thailand,1
1996,Thailand,2
2001,Thailand,1
1990,Thailand,1
2010,Thailand,1
1995,Thailand,3
1990,Thailand,1
1991,Thailand,2
1990,Thailand,1
2001,Thailand,1
1999,Thailand,3
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,3
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,3
2013,Thailand,1
2013,Thailand,3
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2008,Thailand,1
2013,Thailand,3
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,3
2013,Thailand,3
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,3
2013,Thailand,3
2013,Thailand,3
2013,Thailand,3
2013,Thailand,1
2013,Thailand,1
2013,Thailand,1
2006,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,3
2004,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2004,Thailand,1
2007,Thailand,3
2007,Thailand,3
2008,Thailand,3
2005,Thailand,1
2006,Thailand,3
2007,Thailand,3
2011,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2004,Thailand,3
2007,Thailand,3
2006,Thailand,3
2004,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2005,Thailand,3
2004,Thailand,3
2005,Thailand,3
2007,Thailand,3
2006,Thailand,1
2004,Thailand,3
2007,Thailand,1
2006,Thailand,3
2008,Thailand,1
2006,Thailand,3
2006,Thailand,1
2006,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2005,Thailand,1
2005,Thailand,1
2007,Thailand,1
2004,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2008,Thailand,1
2007,Thailand,3
2007,Thailand,3
2009,Thailand,3
2007,Thailand,3
2009,Thailand,1
2007,Thailand,3
2009,Thailand,1
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2004,Thailand,3
2004,Thailand,3
2004,Thailand,3
2005,Thailand,3
2005,Thailand,1
2005,Thailand,1
2005,Thailand,1
2005,Thailand,1
2005,Thailand,1
2005,Thailand,1
2007,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2005,Thailand,3
2004,Thailand,1
2005,Thailand,3
2005,Thailand,3
2007,Thailand,1
2004,Thailand,3
2007,Thailand,3
2005,Thailand,1
2007,Thailand,1
2005,Thailand,1
2007,Thailand,3
2008,Thailand,3
2006,Thailand,3
2006,Thailand,3
2008,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2006,Thailand,1
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2008,Thailand,1
2005,Thailand,3
2005,Thailand,3
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2004,Thailand,1
2004,Thailand,1
2004,Thailand,1
2006,Thailand,1
2007,Thailand,1
2008,Thailand,1
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2008,Thailand,3
2005,Thailand,1
2004,Thailand,3
2005,Thailand,3
2006,Thailand,1
2005,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2009,Thailand,3
2004,Thailand,1
2005,Thailand,3
2009,Thailand,3
2005,Thailand,1
2009,Thailand,1
2009,Thailand,3
2005,Thailand,1
2009,Thailand,3
2009,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2007,Thailand,3
2005,Thailand,1
2007,Thailand,3
2007,Thailand,1
2007,Thailand,1
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2005,Thailand,3
2006,Thailand,1
2007,Thailand,1
2007,Thailand,1
2006,Thailand,3
2008,Thailand,1
2006,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2004,Thailand,1
2004,Thailand,1
2006,Thailand,1
2007,Thailand,1
2009,Thailand,1
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2008,Thailand,3
2005,Thailand,1
2006,Thailand,1
2007,Thailand,1
2004,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2009,Thailand,3
2005,Thailand,1
2005,Thailand,3
2009,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2005,Thailand,3
2009,Thailand,3
2009,Thailand,3
2005,Thailand,1
2005,Thailand,1
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2009,Thailand,3
2006,Thailand,3
2007,Thailand,3
2005,Thailand,1
2009,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2007,Thailand,3
2005,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,3
2005,Thailand,3
2005,Thailand,3
2007,Thailand,1
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,1
2007,Thailand,1
2009,Thailand,3
2005,Thailand,1
2005,Thailand,1
2005,Thailand,3
2005,Thailand,1
2006,Thailand,1
2007,Thailand,3
2007,Thailand,3
2006,Thailand,1
2006,Thailand,1
2007,Thailand,3
2009,Thailand,3
2005,Thailand,1
2005,Thailand,1
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2005,Thailand,1
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2008,Thailand,3
2008,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,1
2006,Thailand,3
2009,Thailand,1
2007,Thailand,3
2007,Thailand,1
2004,Thailand,1
2004,Thailand,1
2006,Thailand,1
2007,Thailand,1
2009,Thailand,1
2006,Thailand,1
2004,Thailand,1
2004,Thailand,1
2010,Thailand,1
2004,Thailand,1
2004,Thailand,1
2008,Thailand,3
2009,Thailand,3
2009,Thailand,3
2006,Thailand,1
2007,Thailand,1
2004,Thailand,1
2006,Thailand,1
2005,Thailand,1
2006,Thailand,1
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2009,Thailand,3
2005,Thailand,1
2006,Thailand,1
2007,Thailand,1
2005,Thailand,3
2006,Thailand,3
2009,Thailand,3
2005,Thailand,1
2006,Thailand,3
2010,Thailand,3
2004,Thailand,1
2004,Thailand,1
2004,Thailand,1
2006,Thailand,1
2006,Thailand,1
2007,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2009,Thailand,3
2009,Thailand,3
2009,Thailand,3
2009,Thailand,3
2006,Thailand,3
2006,Thailand,1
2006,Thailand,1
2006,Thailand,3
2005,Thailand,1
2006,Thailand,1
2006,Thailand,1
2007,Thailand,3
2007,Thailand,1
2006,Thailand,3
2006,Thailand,3
2005,Thailand,1
2007,Thailand,3
2004,Thailand,3
2006,Thailand,1
2005,Thailand,3
2005,Thailand,1
2006,Thailand,3
2005,Thailand,1
2006,Thailand,1
2006,Thailand,1
2007,Thailand,1
2004,Thailand,3
2005,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2009,Thailand,3
2006,Thailand,1
2006,Thailand,3
2006,Thailand,1
2007,Thailand,1
2004,Thailand,1
2005,Thailand,1
2005,Thailand,1
2005,Thailand,1
2005,Thailand,1
2005,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2007,Thailand,3
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2007,Thailand,3
2006,Thailand,1
2006,Thailand,1
2004,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,3
2006,Thailand,3
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2007,Thailand,3
2007,Thailand,3
2006,Thailand,1
2006,Thailand,1
2005,Thailand,1
2005,Thailand,3
2006,Thailand,1
2006,Thailand,1
2005,Thailand,1
2005,Thailand,1
2004,Thailand,1
2004,Thailand,1
2005,Thailand,3
2004,Thailand,1
2009,Thailand,3
2006,Thailand,3
2005,Thailand,1
2009,Thailand,3
2005,Thailand,1
2005,Thailand,1
2005,Thailand,1
2005,Thailand,1
2005,Thailand,1
2006,Thailand,3
2006,Thailand,1
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,1
2006,Thailand,1
2005,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,3
2006,Thailand,3
2004,Thailand,3
2004,Thailand,3
2006,Thailand,1
2004,Thailand,1
2004,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2008,Thailand,1
2004,Thailand,1
2004,Thailand,3
2007,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2007,Thailand,3
2004,Thailand,1
2005,Thailand,1
2006,Thailand,1
2009,Thailand,1
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2004,Thailand,3
2004,Thailand,1
2004,Thailand,1
2004,Thailand,1
2007,Thailand,3
2007,Thailand,3
2005,Thailand,1
2006,Thailand,1
2006,Thailand,1
2004,Thailand,3
2004,Thailand,3
2005,Thailand,3
2009,Thailand,3
2004,Thailand,1
2007,Thailand,3
2005,Thailand,1
2005,Thailand,1
2008,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,3
2004,Thailand,1
2006,Thailand,1
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2009,Thailand,1
2009,Thailand,1
2007,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2005,Thailand,3
2006,Thailand,1
2006,Thailand,1
2003,Thailand,1
2008,Thailand,1
2006,Thailand,1
2006,Thailand,1
2007,Thailand,1
2005,Thailand,3
2009,Thailand,3
2009,Thailand,3
2009,Thailand,3
2009,Thailand,3
2009,Thailand,3
2009,Thailand,3
2009,Thailand,3
2006,Thailand,3
2006,Thailand,3
2008,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,3
2008,Thailand,1
2004,Thailand,3
2004,Thailand,3
2004,Thailand,3
2004,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2004,Thailand,1
2007,Thailand,3
2007,Thailand,3
2004,Thailand,1
2004,Thailand,1
2006,Thailand,1
2006,Thailand,1
2004,Thailand,1
2004,Thailand,1
2004,Thailand,1
2004,Thailand,1
2004,Thailand,1
2005,Thailand,1
2006,Thailand,1
2006,Thailand,1
2004,Thailand,3
2005,Thailand,1
2005,Thailand,1
2005,Thailand,1
2006,Thailand,1
2008,Thailand,1
2006,Thailand,1
2006,Thailand,1
2007,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2006,Thailand,1
2005,Thailand,1
2006,Thailand,1
2006,Thailand,1
2007,Thailand,1
2007,Thailand,1
2007,Thailand,1
2007,Thailand,1
2007,Thailand,1
2007,Thailand,1
2007,Thailand,1
2007,Thailand,1
2008,Thailand,1
2007,Thailand,1
2007,Thailand,1
2007,Thailand,1
2007,Thailand,1
2008,Thailand,1
2009,Thailand,1
2005,Thailand,3
2008,Thailand,1
2007,Thailand,3
2008,Thailand,1
2008,Thailand,1
2006,Thailand,3
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2005,Thailand,3
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2005,Thailand,3
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2006,Thailand,3
2007,Thailand,3
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2009,Thailand,3
2008,Thailand,1
2007,Thailand,1
2007,Thailand,3
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2008,Thailand,1
2009,Thailand,1
2009,Thailand,1
2009,Thailand,1
2009,Thailand,1
2009,Thailand,1
2009,Thailand,1
2009,Thailand,1
2011,Thailand,1
2009,Thailand,1
2009,Thailand,1
2009,Thailand,1
2011,Thailand,1
2009,Thailand,1
2009,Thailand,1
2009,Thailand,1
2010,Thailand,1
2004,Thailand,3
2010,Thailand,1
2004,Thailand,3
2010,Thailand,1
2010,Thailand,1
2010,Thailand,1
2010,Thailand,1
2011,Thailand,1
2011,Thailand,1
2011,Thailand,1
2011,Thailand,1
2011,Thailand,1
2011,Thailand,1
2011,Thailand,1
2004,Thailand,3
2004,Thailand,3
2011,Thailand,1
2006,Thailand,3
2007,Thailand,3
2011,Thailand,1
2006,Thailand,3
2006,Thailand,3
2004,Thailand,3
2004,Thailand,3
2011,Thailand,1
2011,Thailand,1
2006,Thailand,3
2004,Thailand,3
2004,Thailand,3
2011,Thailand,1
2011,Thailand,1
2004,Thailand,3
2004,Thailand,3
2004,Thailand,3
2006,Thailand,3
2006,Thailand,3
2004,Thailand,3
2004,Thailand,3
2005,Thailand,3
2006,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2005,Thailand,3
2005,Thailand,3
2005,Thailand,3
2006,Thailand,3
2005,Thailand,3
2006,Thailand,3
2007,Thailand,3
2005,Thailand,3
2005,Thailand,3
2007,Thailand,3
2005,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
2007,Thailand,3
2007,Thailand,3
2006,Thailand,3
2006,Thailand,3
2006,Thailand,3
